163.9019408539517; 50.813205246291716, 32.58183715016031; 145.50575874140037, 48.9510324402168; 45.50570210828779, 88.37511549071846; 85.37276497976683, 125.39165149269272; 108.26385191873797, 95.9075330719622; 29.865353348867067, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 146.59952485449415; 21.63607035243407, 148.53470420213532; 123.91775044115066, 26.399044996929945; 95.53760315439968, 83.57054513356879; 33.00579072546025, 164.5701871822719; 146.6084195225802, 121.66354390685713; 120.99869146384636, 91.46673913092576; 144.8663786659826, 13.113531499413615; 48.528107247689064, 15.97758788558972; 124.68987335481003, 13.598388317523112; 73.30747129269241, 165.01997074525417; 84.21863153354576, 114.69466052394262; 141.51607779328845, 
163.9019408539517; 50.813205246291716, 32.58183715016031; 145.50575874140037, 48.9510324402168; 45.50570210828779, 88.37511549071846; 85.37276497976683, 125.39165149269272; 108.26385191873797, 95.9075330719622; 29.865353348867067, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 146.59952485449415; 21.63607035243407, 148.53470420213532; 123.91775044115066, 26.399044996929945; 95.53760315439968, 83.57054513356879; 33.00579072546025, 164.5701871822719; 146.6084195225802, 121.66354390685713; 120.99869146384636, 91.46673913092576; 144.8663786659826, 13.113531499413615; 48.528107247689064, 15.97758788558972; 124.68987335481003, 13.598388317523112; 73.30747129269241, 114.69466052394262; 141.51607779328845, 94.81186896203879; 107.97864858675264, 
163.9019408539517; 50.813205246291716, 32.58183715016031; 145.50575874140037, 48.9510324402168; 45.50570210828779, 88.37511549071846; 85.37276497976683, 125.39165149269272; 108.26385191873797, 95.9075330719622; 29.865353348867067, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 146.59952485449415; 21.63607035243407, 148.53470420213532; 123.91775044115066, 26.399044996929945; 95.53760315439968, 83.57054513356879; 33.00579072546025, 164.5701871822719; 146.6084195225802, 121.66354390685713; 120.99869146384636, 91.46673913092576; 144.8663786659826, 13.113531499413615; 48.528107247689064, 15.97758788558972; 124.68987335481003, 114.69466052394262; 141.51607779328845, 94.81186896203879; 107.97864858675264, 22.023889015240155; 150.06824169096922, 
163.9019408539517; 50.813205246291716, 32.58183715016031; 145.50575874140037, 48.9510324402168; 45.50570210828779, 88.37511549071846; 85.37276497976683, 125.39165149269272; 108.26385191873797, 95.9075330719622; 29.865353348867067, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 146.59952485449415; 21.63607035243407, 148.53470420213532; 123.91775044115066, 26.399044996929945; 95.53760315439968, 83.57054513356879; 33.00579072546025, 164.5701871822719; 146.6084195225802, 121.66354390685713; 120.99869146384636, 13.113531499413615; 48.528107247689064, 15.97758788558972; 124.68987335481003, 114.69466052394262; 141.51607779328845, 94.81186896203879; 107.97864858675264, 22.023889015240155; 150.06824169096922, 159.56413122377546; 97.43125794792013, 
163.9019408539517; 50.813205246291716, 32.58183715016031; 145.50575874140037, 48.9510324402168; 45.50570210828779, 88.37511549071846; 85.37276497976683, 125.39165149269272; 108.26385191873797, 95.9075330719622; 29.865353348867067, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 146.59952485449415; 21.63607035243407, 148.53470420213532; 123.91775044115066, 26.399044996929945; 95.53760315439968, 164.5701871822719; 146.6084195225802, 121.66354390685713; 120.99869146384636, 13.113531499413615; 48.528107247689064, 15.97758788558972; 124.68987335481003, 114.69466052394262; 141.51607779328845, 94.81186896203879; 107.97864858675264, 22.023889015240155; 150.06824169096922, 159.56413122377546; 97.43125794792013, 103.85330779263336; 11.563587302590971, 
163.9019408539517; 50.813205246291716, 32.58183715016031; 145.50575874140037, 48.9510324402168; 45.50570210828779, 125.39165149269272; 108.26385191873797, 95.9075330719622; 29.865353348867067, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 146.59952485449415; 21.63607035243407, 148.53470420213532; 123.91775044115066, 26.399044996929945; 95.53760315439968, 164.5701871822719; 146.6084195225802, 121.66354390685713; 120.99869146384636, 13.113531499413615; 48.528107247689064, 15.97758788558972; 124.68987335481003, 114.69466052394262; 141.51607779328845, 94.81186896203879; 107.97864858675264, 22.023889015240155; 150.06824169096922, 159.56413122377546; 97.43125794792013, 103.85330779263336; 11.563587302590971, 69.65508087276686; 109.74407627123264, 
163.9019408539517; 50.813205246291716, 32.58183715016031; 145.50575874140037, 48.9510324402168; 45.50570210828779, 125.39165149269272; 108.26385191873797, 95.9075330719622; 29.865353348867067, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 146.59952485449415; 21.63607035243407, 148.53470420213532; 123.91775044115066, 26.399044996929945; 95.53760315439968, 121.66354390685713; 120.99869146384636, 13.113531499413615; 48.528107247689064, 15.97758788558972; 124.68987335481003, 114.69466052394262; 141.51607779328845, 94.81186896203879; 107.97864858675264, 22.023889015240155; 150.06824169096922, 159.56413122377546; 97.43125794792013, 103.85330779263336; 11.563587302590971, 69.65508087276686; 109.74407627123264, 101.0301651060785; 49.62176062073038, 
163.9019408539517; 50.813205246291716, 32.58183715016031; 145.50575874140037, 48.9510324402168; 45.50570210828779, 125.39165149269272; 108.26385191873797, 95.9075330719622; 29.865353348867067, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 146.59952485449415; 21.63607035243407, 148.53470420213532; 123.91775044115066, 26.399044996929945; 95.53760315439968, 121.66354390685713; 120.99869146384636, 13.113531499413615; 48.528107247689064, 15.97758788558972; 124.68987335481003, 114.69466052394262; 141.51607779328845, 94.81186896203879; 107.97864858675264, 22.023889015240155; 150.06824169096922, 159.56413122377546; 97.43125794792013, 103.85330779263336; 11.563587302590971, 101.0301651060785; 49.62176062073038, 152.05583255150663; 152.4328231262292, 
163.9019408539517; 50.813205246291716, 32.58183715016031; 145.50575874140037, 48.9510324402168; 45.50570210828779, 125.39165149269272; 108.26385191873797, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 146.59952485449415; 21.63607035243407, 148.53470420213532; 123.91775044115066, 26.399044996929945; 95.53760315439968, 121.66354390685713; 120.99869146384636, 13.113531499413615; 48.528107247689064, 15.97758788558972; 124.68987335481003, 114.69466052394262; 141.51607779328845, 94.81186896203879; 107.97864858675264, 22.023889015240155; 150.06824169096922, 159.56413122377546; 97.43125794792013, 103.85330779263336; 11.563587302590971, 101.0301651060785; 49.62176062073038, 152.05583255150663; 152.4328231262292, 71.75410988035273; 38.818406236674626, 
163.9019408539517; 50.813205246291716, 32.58183715016031; 145.50575874140037, 48.9510324402168; 45.50570210828779, 125.39165149269272; 108.26385191873797, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 146.59952485449415; 21.63607035243407, 148.53470420213532; 123.91775044115066, 121.66354390685713; 120.99869146384636, 13.113531499413615; 48.528107247689064, 15.97758788558972; 124.68987335481003, 114.69466052394262; 141.51607779328845, 94.81186896203879; 107.97864858675264, 22.023889015240155; 150.06824169096922, 159.56413122377546; 97.43125794792013, 103.85330779263336; 11.563587302590971, 101.0301651060785; 49.62176062073038, 152.05583255150663; 152.4328231262292, 71.75410988035273; 38.818406236674626, 70.79032212799467; 124.33562553220528, 
163.9019408539517; 50.813205246291716, 32.58183715016031; 145.50575874140037, 48.9510324402168; 45.50570210828779, 125.39165149269272; 108.26385191873797, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 146.59952485449415; 21.63607035243407, 148.53470420213532; 123.91775044115066, 121.66354390685713; 120.99869146384636, 13.113531499413615; 48.528107247689064, 15.97758788558972; 124.68987335481003, 114.69466052394262; 141.51607779328845, 94.81186896203879; 107.97864858675264, 22.023889015240155; 150.06824169096922, 159.56413122377546; 97.43125794792013, 103.85330779263336; 11.563587302590971, 101.0301651060785; 49.62176062073038, 71.75410988035273; 38.818406236674626, 70.79032212799467; 124.33562553220528, 149.29133788791037; 42.34327213748425, 
